CustomerInfo,StockCode,BuySell,TradeCount,TradeSize,Consideration,AvgPx
00000002594TSG1,E5H_RY,S,1,60000,18000.0,0.3
00000002595TSG1,E5H_RY,B,1,60000,18000.0,0.3
00000002601TSG1,NS8U_RY,S,1,70000,18900.0,0.27
00000002602TSG1,NS8U_RY,B,1,70000,18900.0,0.27
00000002614TSG1,40F_RY,S,1,50000,35000.0,0.7
00000002615TSG1,40F_RY,B,1,50000,35000.0,0.7
00000002645TSG1,NS8U_RY,B,1,54000,14580.000000000002,0.27
00000002646TSG1,NS8U_RY,S,1,54000,14580.000000000002,0.27
00003471490OSG1,40F_RY,B,1,500,325.0,0.65
00003471491OSG1,40F_RY,S,2,1200,840.0,0.7
00003471497OSG1,NS8U_RY,B,1,100,27.0,0.27
00003471498OSG1,NS8U_RY,S,1,100,27.0,0.27
00003471500OSG1,E5H_RY,B,1,100,30.0,0.3
00003471501OSG1,E5H_RY,S,1,100,30.0,0.3
00003471503OSG1,40F_RY,B,1,200,140.0,0.7
00003471504OSG1,NS8U_RY,B,10,3300,858.0,0.26
00003471505OSG1,40F_RY,S,1,500,325.0,0.65
00003471506OSG1,E5H_RY,B,11,4100,1189.0,0.29
00003471510OSG1,G13_RY,S,1,100,123.0,1.23
00003471511OSG1,G13_RY,B,1,100,123.0,1.23
00003471516OSG1,40F_RY,S,1,2000,1380.0,0.69
00003471518OSG1,E5H_RY,S,1,100,28.999999999999996,0.29
00003471519OSG1,E5H_RY,S,1,200,57.99999999999999,0.29
00003471520OSG1,E5H_RY,S,1,100,28.999999999999996,0.29
00003471521OSG1,E5H_RY,S,1,300,87.0,0.29
00003471522OSG1,E5H_RY,S,1,300,87.0,0.29
00003471523OSG1,E5H_RY,S,1,100,28.999999999999996,0.29
00003471524OSG1,E5H_RY,S,1,500,145.0,0.29
00003471525OSG1,E5H_RY,S,1,400,115.99999999999999,0.29
00003471526OSG1,E5H_RY,S,1,200,57.99999999999999,0.29
00003471527OSG1,E5H_RY,S,1,700,203.0,0.29
00003471528OSG1,NS8U_RY,S,1,100,26.0,0.26
00003471529OSG1,NS8U_RY,S,1,200,52.0,0.26
00003471530OSG1,NS8U_RY,S,1,300,78.0,0.26
00003471531OSG1,NS8U_RY,S,1,400,104.0,0.26
00003471532OSG1,NS8U_RY,S,1,100,26.0,0.26
00003471533OSG1,NS8U_RY,S,1,200,52.0,0.26
00003471534OSG1,NS8U_RY,S,1,300,78.0,0.26
00003471535OSG1,NS8U_RY,S,1,300,78.0,0.26
00003471536OSG1,NS8U_RY,S,1,1100,286.0,0.26
00003471537OSG1,NS8U_RY,S,1,300,78.0,0.26
00003471538OSG1,E5H_RY,S,1,1200,348.0,0.29
00003471539OSG1,E5H_RY,B,8,4100,1209.5,0.295
00003471596OSG1,E5H_RY,B,1,500,160.0,0.32
00003471597OSG1,E5H_RY,S,1,500,160.0,0.32
00003471600OSG1,E5H_RY,S,3,1200,360.0,0.3
00003471610OSG1,E5H_US,S,1,21,6.3,0.3
00003471611OSG1,E5H_US,B,1,21,6.3,0.3
00003471612OSG1,NS8U_RY,S,10,5100,1377.0,0.27
00003471614OSG1,NS8U_US,S,1,44,11.88,0.27
00003471615OSG1,NS8U_US,B,1,44,11.88,0.27
00003471617OSG1,40F_US,B,1,55,38.5,0.7
00003471618OSG1,E5H_RY,S,1,300,88.5,0.295
00003471619OSG1,E5H_RY,S,1,400,118.0,0.295
00003471620OSG1,E5H_RY,S,1,200,59.0,0.295
00003471621OSG1,E5H_RY,S,1,100,29.5,0.295
00003471622OSG1,E5H_RY,S,1,500,147.5,0.295
00003471623OSG1,E5H_RY,S,1,400,118.0,0.295
00003471624OSG1,E5H_RY,S,1,2100,619.5,0.295
00003471625OSG1,E5H_RY,S,1,100,29.5,0.295
00003471626OSG1,40F_US,S,1,55,38.5,0.7
00003471627OSG1,NS8U_RY,B,1,100,27.0,0.27
00003471628OSG1,NS8U_RY,B,1,200,54.0,0.27
00003471629OSG1,NS8U_RY,B,1,300,81.0,0.27
00003471630OSG1,NS8U_RY,B,1,400,108.0,0.27
00003471631OSG1,NS8U_RY,B,1,100,27.0,0.27
00003471632OSG1,NS8U_RY,B,1,300,81.0,0.27
00003471633OSG1,NS8U_RY,B,1,2300,621.0,0.27
00003471634OSG1,NS8U_RY,B,1,200,54.0,0.27
00003471635OSG1,NS8U_RY,B,1,500,135.0,0.27
00003471636OSG1,NS8U_RY,B,1,700,189.0,0.27
00003471639OSG1,40F_RY,B,2,3000,2080.0,0.6933333333333334
